station,region,n,field_dep,mdl_near,mismatch,adj_dep,adj_off_m,adj_lon,adj_lat
DEV04,CS,2,20.1,19.5,0.6,19.8,232,115.6862,-32.1538
DEV05,CS,2,19.5,21.0,-1.5,20.4,183,115.6868,-32.1579
GI1,NW,4,18.0,21.2,-3.2,21.1,285,115.6249,-32.1313
GI14,W,4,32.0,31.8,0.2,31.8,174,115.5827,-32.227
GI15,SW,22,35.9,11.7,24.2,16.2,294,115.6128,-32.2494
GI16,SW,20,14.8,11.0,3.9,14.9,264,115.6271,-32.2519
GI17,SW,21,21.9,20.8,1.1,21.2,134,115.6346,-32.2496
GI18,SW,21,36.0,22.6,13.3,23.6,291,115.6503,-32.2497
GI19,SW,16,35.9,13.9,22.0,15.1,235,115.6645,-32.2491
GI2,NW,3,8.0,9.9,-1.9,9.9,93,115.6064,-32.1326
GI20,SW,1,12.0,10.6,1.4,11.9,157,115.6739,-32.2515
GI21,W,4,20.0,21.8,-1.8,20.5,290,115.6387,-32.2342
GI22,W,3,20.0,21.1,-1.1,20.9,293,115.6337,-32.2084
GI23,W,4,20.0,20.7,-0.7,20.4,217,115.6296,-32.1834
GI24,W,3,18.0,20.4,-2.4,20.2,171,115.6293,-32.1566
GI3,NW,5,12.0,13.1,-1.1,13.1,160,115.5965,-32.1329
GI30,SW,18,36.0,27.1,8.9,27.1,100,115.5992,-32.2495
GI35,SW,17,35.2,32.3,2.9,32.3,241,115.5607,-32.2494
GI4,NW,3,18.0,24.8,-6.8,24.8,39,115.5858,-32.1331
MF10,OA,1,20.4,20.6,-0.2,20.5,220,115.6931,-32.1466
MF15,CS,1,21.0,21.1,-0.2,21.1,79,115.69,-32.1549
MF20,OA,1,20.4,5.7,14.7,6.7,300,115.6846,-32.0937
MF25,CS,1,5.9,3.1,2.8,5.9,269,115.6779,-32.1652
MF5,CS,2,21.5,15.6,6.0,19.4,241,115.6838,-32.1601
ML01,OA,4,7.0,8.0,-1.0,7.4,216,115.6907,-32.133
ML01NW,OA,1,6.3,7.0,-0.7,6.2,199,115.6943,-32.129
ML01W,OA,1,7.4,7.9,-0.5,7.6,221,115.6873,-32.1321
MN100,SW,7,63.9,21.0,42.8,21.8,220,115.6523,-32.3133
MN105,SW,8,24.0,23.3,0.7,23.7,211,115.6486,-32.2933
MN110,SW,7,22.0,22.6,-0.6,22.3,187,115.652,-32.2666
MN13,S,2,15.0,14.3,0.7,14.9,221,115.7077,-32.449
MN2,S,2,12.0,12.7,-0.7,12.7,139,115.696,-32.4992
MN20,S,1,16.0,12.6,3.4,14.8,133,115.6693,-32.4326
MN25,SW,8,26.5,14.3,12.2,18.0,242,115.6395,-32.3321
MN26,SW,7,27.0,25.9,1.1,26.3,274,115.6178,-32.3312
MN3,S,2,11.0,11.5,-0.5,11.5,138,115.701,-32.5114
MN31,SW,9,18.0,16.8,1.2,17.7,294,115.6723,-32.3321
MN32,SW,10,27.3,11.5,15.9,11.9,170,115.6984,-32.3331
MN33,SW,9,36.0,17.9,18.1,18.5,286,115.7141,-32.332
MN34,SW,10,19.0,18.4,0.6,18.8,182,115.738,-32.3319
MN35,SW,10,35.9,8.2,27.7,14.5,220,115.7079,-32.3226
MN36,S,8,36.0,6.2,29.7,8.2,167,115.7107,-32.3487
MN4,S,2,8.0,6.1,1.9,8.7,274,115.7093,-32.5103
MN45,SW,8,20.0,19.7,0.3,19.9,196,115.6481,-32.3342
MN49,SW,8,10.1,9.7,0.4,9.7,50,115.6828,-32.2536
MN50,SW,1,16.0,15.0,1.0,16.0,206,115.6645,-32.2534
MN55,SW,1,22.0,22.6,-0.6,22.3,187,115.652,-32.2666
MN60,SW,2,22.0,21.5,0.5,21.8,292,115.6521,-32.2982
MN65,S,2,23.0,22.5,0.5,22.8,262,115.6575,-32.359
MN70,S,1,19.0,18.4,0.6,18.6,226,115.66,-32.3986
MN72,S,1,14.0,13.9,0.1,13.9,94,115.6492,-32.434
MN75,S,2,10.0,13.6,-3.6,12.9,148,115.6943,-32.4156
MN80,S,2,13.0,10.8,2.2,11.8,278,115.719,-32.4191
MN88,SW,5,34.0,26.4,7.6,26.4,154,115.5933,-32.292
MN9,S,2,13.0,12.8,0.2,13.2,199,115.6999,-32.4817
MN90,SW,7,36.0,26.0,10.0,26.0,231,115.5938,-32.3344
MN95,SW,6,16.0,15.6,0.4,15.6,136,115.6292,-32.3324
MS11,SW,3,32.0,27.4,4.6,27.4,99,115.5946,-32.2607
MS12,SW,2,35.0,25.8,9.2,25.8,97,115.593,-32.3383
ND01,OA,3,4.6,14.8,-10.2,11.7,248,115.7097,-32.1265
OA10,NW,44,28.7,8.6,20.2,16.0,231,115.7326,-32.0543
OA100,OA,2,12.7,12.4,0.3,12.8,262,115.719,-32.1167
OA15,NW,23,16.4,16.4,-0.0,16.4,37,115.7156,-32.059
OA20,NW,28,17.6,17.1,0.5,17.3,174,115.714,-32.0652
OA25,OA,24,19.8,5.8,14.0,6.3,207,115.7139,-32.0944
OA25E,OA,1,3.2,3.7,-0.5,3.3,196,115.7347,-32.0898
OA25N,OA,1,6.7,5.9,0.8,6.3,137,115.7223,-32.081
OA25S,OA,1,4.5,5.9,-1.3,5.5,290,115.7158,-32.0921
OA27,OA,1,9.1,12.4,-3.2,8.6,193,115.7121,-32.1
OA30,OA,13,14.9,5.3,9.6,14.0,270,115.6933,-32.0835
OA30A,OA,2,14.5,12.6,1.8,14.6,290,115.6943,-32.0933
OA30N,OA,1,5.2,6.7,-1.5,5.1,200,115.6906,-32.0852
OA30S,OA,11,15.6,13.0,2.7,15.8,148,115.6964,-32.1028
