station,region,lat,lon,model_lon,model_lat,note
GI12,W,-32.188446,115.518324,115.518324,-32.188446,
GI13,W,-32.208442,115.551664,115.551664,-32.208442,
GI14,W,-32.228447,115.583331,115.583331,-32.228447,
GI15,SW,-32.250114,115.615826,115.615826,-32.250114,
GI16,SW,-32.250109,115.625326,115.625326,-32.250109,
GI17,SW,-32.250115,115.633329,115.633329,-32.250115,
GI18,SW,-32.250113,115.653327,115.653327,-32.250113,
GI19,SW,-32.25011,115.666659,115.666659,-32.25011,
GI2,NW,-32.133442,115.606661,115.606661,-32.133442,
GI20,SW,-32.250108,115.674164,115.674164,-32.250108,
GI21,W,-32.231776,115.639993,115.639993,-32.231776,
GI22,W,-32.207611,115.63666,115.63666,-32.207611,
GI23,W,-32.182615,115.631655,115.631655,-32.182615,
GI24,W,-32.15678,115.627492,115.627492,-32.15678,
GI3,NW,-32.133449,115.594989,115.594989,-32.133449,
GI30,SW,-32.25011,115.599989,115.599989,-32.25011,
GI35,SW,-32.250111,115.558327,115.558327,-32.250111,
GI4,NW,-32.133446,115.58583,115.58583,-32.133446,
GI40,SW,-32.250112,115.53333,115.53333,-32.250112,
GI45,SW,-32.250108,115.508322,115.508322,-32.250108,
GI5,NW,-32.133442,115.57666,115.57666,-32.133442,
GI50,SW,-32.250108,115.483326,115.483326,-32.250108,
GI55,SW,-32.250112,115.458329,115.458329,-32.250112,
GI6,NW,-32.133447,115.53749,115.53749,-32.133447,
GI7,NW,-32.133448,115.49833,115.49833,-32.133448,
GI8,NW,-32.133448,115.459987,115.459987,-32.133448,
GI9,NW,-32.133442,115.419991,115.419991,-32.133442,
MF10,OA,-32.146612,115.695491,115.695491,-32.146612,
MF15,CS,-32.15561,115.689828,115.689828,-32.15561,
MF20,OA,-32.09194,115.686997,115.686997,-32.09194,
MF25,CS,-32.16378,115.67566,115.67566,-32.16378,
MF5,CS,-32.15794,115.683156,115.683156,-32.15794,
ML01,OA,-32.134607,115.689492,115.689492,-32.134607,
ML01NW,OA,-32.130614,115.693323,115.693323,-32.130614,
ML01W,OA,-32.132947,115.685159,115.685159,-32.132947,
MN100,SW,-32.313445,115.64999,115.64999,-32.313445,
MN105,SW,-32.291778,115.649993,115.649993,-32.291778,
MN110,SW,-32.266774,115.649992,115.649992,-32.266774,
MN13,S,-32.45011,115.705827,115.705827,-32.45011,
MN2,S,-32.500114,115.694989,115.694989,-32.500114,
MN20,S,-32.433447,115.668328,115.668328,-32.433447,
MN25,SW,-32.333444,115.637497,115.637497,-32.333444,
MN26,SW,-32.333443,115.616662,115.616662,-32.333443,
MN3,S,-32.512613,115.700823,115.700823,-32.512613,
MN31,SW,-32.333447,115.67499,115.67499,-32.333447,
MN32,SW,-32.333447,115.696664,115.696664,-32.333447,
MN33,SW,-32.333444,115.716659,115.716659,-32.333444,
MN34,SW,-32.333447,115.737494,115.737494,-32.333447,
MN35,SW,-32.320948,115.706659,115.706659,-32.320948,
MN36,S,-32.350109,115.709995,115.709995,-32.350109,
MN4,S,-32.512609,115.708328,115.708328,-32.512609,
MN45,SW,-32.333443,115.649991,115.649991,-32.333443,
MN49,SW,-32.253442,115.683329,115.683329,-32.253442,
MN50,SW,-32.253448,115.666664,115.666664,-32.253448,
MN55,SW,-32.266774,115.649992,115.649992,-32.266774,
MN60,SW,-32.300113,115.649997,115.649997,-32.300113,
MN65,S,-32.356777,115.658327,115.658327,-32.356777,
MN70,S,-32.40011,115.658324,115.658324,-32.40011,
MN72,S,-32.43345,115.649992,115.649992,-32.43345,
MN75,S,-32.416777,115.694989,115.694989,-32.416777,
MN80,S,-32.416781,115.71999,115.71999,-32.416781,
MN85,SW,-32.291775,115.558326,115.558326,-32.291775,
MN88,SW,-32.291782,115.59166,115.59166,-32.291782,
MN9,S,-32.483443,115.699997,115.699997,-32.483443,
MN90,SW,-32.333446,115.591663,115.591663,-32.333446,
MN95,SW,-32.333453,115.629985,115.629985,-32.333453,
MS11,SW,-32.259948,115.593989,115.593989,-32.259948,
MS12,SW,-32.33828,115.59399,115.59399,-32.33828,
ND01,OA,-32.128778,115.709494,115.709494,-32.128778,
OA10,NW,-32.055781,115.730825,115.730825,-32.055781,
OA100,OA,-32.114946,115.717161,115.717161,-32.114946,
OA15,NW,-32.05928,115.715492,115.715492,-32.05928,
OA20,NW,-32.066278,115.71533,115.71533,-32.066278,
OA25,OA,-32.092944,115.715328,115.715328,-32.092944,
OA25E,OA,-32.090277,115.732659,115.732659,-32.090277,
OA25N,OA,-32.080948,115.720826,115.720826,-32.080948,
OA25S,OA,-32.094608,115.716661,115.716661,-32.094608,
OA27,OA,-32.101145,115.713656,115.713656,-32.101145,
OA30,OA,-32.084782,115.690829,115.690829,-32.084782,
OA30A,OA,-32.095611,115.695666,115.695666,-32.095611,
OA30N,OA,-32.083979,115.689092,115.689092,-32.083979,
OA30S,OA,-32.103281,115.694995,115.694995,-32.103281,
OA30W,OA,-32.079449,115.674165,115.674165,-32.079449,
OA31,OA,-32.078946,115.689164,115.689164,-32.078946,
OA32,OA,-32.072448,115.687996,115.687996,-32.072448,
OA33,NW,-32.063273,115.686157,115.686157,-32.063273,
OA33W,NW,-32.061945,115.683326,115.683326,-32.061945,
OA35,OA,-32.077942,115.656992,115.656992,-32.077942,
OA36N,NW,-32.058444,115.658325,115.658325,-32.058444,
OA40,OA,-32.079608,115.634824,115.634824,-32.079608,
OA45,NW,-32.077944,115.616997,115.616997,-32.077944,
OA5,OA,-32.070948,115.731156,115.731156,-32.070948,
OA50,NW,-32.099116,115.616996,115.616996,-32.099116,
