set,sim,model,zone,variable,metric,value,n_matched,source
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_PHS_FRP,RMS,0.0009290411542477172,16,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_OGM_PON,BIAS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_OGM_PON,MAE,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_OGM_PON,MEF,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_OGM_PON,NMAE,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_OGM_PON,NRMS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_OGM_PON,R,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_OGM_PON,RMS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_OGM_POC,BIAS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_OGM_POC,MAE,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_OGM_POC,MEF,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_OGM_POC,NMAE,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_OGM_POC,NRMS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_OGM_POC,R,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_OGM_POC,RMS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_TOT_PAR,BIAS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_TOT_PAR,MAE,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_TOT_PAR,MEF,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_TOT_PAR,NMAE,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_TOT_PAR,NRMS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_TOT_PAR,R,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_TOT_PAR,RMS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,H,BIAS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,H,MAE,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,H,MEF,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,H,NMAE,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,H,NRMS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,H,R,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,H,RMS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_TOT_EXTC,BIAS,1276.9706207258237,15,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_TOT_EXTC,MAE,2.6914020208903,15,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_TOT_EXTC,MEF,-9962.68321921375,15,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_TOT_EXTC,NMAE,12.769706207258238,15,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_TOT_EXTC,NRMS,15.083687328551386,15,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_TOT_EXTC,R,0.006448119735250921,15,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_TOT_EXTC,RMS,3.1791073263272014,15,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_PHY_MPB_BEN,BIAS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_PHY_MPB_BEN,MAE,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_PHY_MPB_BEN,MEF,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_PHY_MPB_BEN,NMAE,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_PHY_MPB_BEN,NRMS,,0,errormatrix.mat
